email,full_name,contact,degree,degree_score,type,job_post,aptitude_score,technical_score,personality_score,average_score,category,hr_id,date_of_interview
hilaryhecker@gmail.com,Hilary Hecker,8688308471,be_btech,94,Fresher,Associate Engineer,96,82,36,72,1,hr1,2000-12-31
patriciaswan@gmail.com,Patricia Swan,8554947225,be_btech,84,Fresher,Associate Engineer,89,77,70,79,1,hr1,2000-12-31
terrybrown@gmail.com,Terry Brown,8646601707,be_btech,64,Fresher,Associate Engineer,34,78,87,67,0,hr1,2000-12-31
ericspivey@gmail.com,Eric Spivey,8150685524,be_btech,96,Fresher,Associate Engineer,80,31,65,59,0,hr1,2000-12-31
mildredbolen@gmail.com,Mildred Bolen,8733496593,be_btech,79,Fresher,Associate Engineer,41,60,93,65,0,hr1,2000-12-31
johnclarke@gmail.com,John Clarke,8397994459,be_btech,94,Fresher,Associate Engineer,72,81,43,66,0,hr1,2000-12-31
gerardcampos@gmail.com,Gerard Campos,8064121520,be_btech,99,Fresher,Associate Engineer,92,43,68,68,0,hr1,2000-12-31
allencantey@gmail.com,Allen Cantey,8747643868,be_btech,92,Fresher,Associate Engineer,23,37,38,33,0,hr1,2000-12-31
lauraflath@gmail.com,Laura Flath,8656792337,be_btech,76,Fresher,Associate Engineer,56,56,49,54,0,hr1,2000-12-31
cherylle@gmail.com,Cheryl Le,8539406271,be_btech,62,Fresher,Associate Engineer,93,43,92,76,1,hr1,2000-12-31
christophercole@gmail.com,Christopher Cole,7900650616,be_btech,72,Fresher,Associate Engineer,55,33,46,45,0,hr1,2000-12-31
tinamalone@gmail.com,Tina Malone,8757594241,be_btech,79,Fresher,Associate Engineer,21,65,79,55,0,hr1,2000-12-31
georgeyanez@gmail.com,George Yanez,8719590981,be_btech,82,Fresher,Associate Engineer,18,43,32,31,0,hr1,2000-12-31
anaorozco@gmail.com,Ana Orozco,8614070398,be_btech,75,Fresher,Associate Engineer,82,63,60,69,0,hr1,2000-12-31
rubenyoungdahl@gmail.com,Ruben Youngdahl,8329072136,be_btech,67,Fresher,Associate Engineer,41,77,90,70,1,hr1,2000-12-31
adriangoldberg@gmail.com,Adrian Goldberg,7988502738,be_btech,93,Fresher,Associate Engineer,9,38,48,32,0,hr1,2000-12-31
pennyfontenot@gmail.com,Penny Fontenot,8601407474,be_btech,77,Fresher,Associate Engineer,12,58,86,52,0,hr1,2000-12-31
beverlymitchell@gmail.com,Beverly Mitchell,8196776543,be_btech,61,Fresher,Associate Engineer,89,83,77,83,1,hr1,2000-12-31
christinacochran@gmail.com,Christina Cochran,8427111946,be_btech,63,Fresher,Associate Engineer,4,44,69,39,0,hr1,2000-12-31
staceybrock@gmail.com,Stacey Brock,8269508477,be_btech,98,Fresher,Associate Engineer,57,30,78,55,0,hr1,2000-12-31
darlenestringer@gmail.com,Darlene Stringer,7966510849,be_btech,90,Fresher,Associate Engineer,66,85,33,62,0,hr1,2000-12-31
raymondcooper@gmail.com,Raymond Cooper,8589070819,be_btech,66,Fresher,Associate Engineer,95,56,82,78,1,hr1,2000-12-31
brittanychase@gmail.com,Brittany Chase,8787943555,be_btech,62,Fresher,Associate Engineer,12,71,77,54,0,hr1,2000-12-31
barbarabramer@gmail.com,Barbara Bramer,7954220088,be_btech,69,Fresher,Associate Engineer,62,84,94,80,1,hr1,2000-12-31
brianwinner@gmail.com,Brian Winner,8408769195,be_btech,76,Fresher,Associate Engineer,54,57,92,68,0,hr1,2000-12-31
hazelstockbridge@gmail.com,Hazel Stockbridge,8730764116,be_btech,93,Fresher,Associate Engineer,99,57,87,81,1,hr1,2000-12-31
josemathis@gmail.com,Jose Mathis,8519990827,be_btech,81,Fresher,Associate Engineer,49,53,82,62,0,hr1,2000-12-31
sandrastone@gmail.com,Sandra Stone,8592513484,be_btech,71,Fresher,Associate Engineer,84,49,94,78,1,hr1,2000-12-31
meganschleusner@gmail.com,Megan Schleusner,7975478790,be_btech,99,Fresher,Associate Engineer,73,64,75,71,1,hr1,2000-12-31
daniloreeves@gmail.com,Danilo Reeves,8659634353,be_btech,88,Fresher,Associate Engineer,46,63,39,50,0,hr1,2000-12-31
thomaskurth@gmail.com,Thomas Kurth,8742060113,be_btech,86,Fresher,Associate Engineer,39,82,79,67,0,hr1,2000-12-31
ritamccalmont@gmail.com,Rita Mccalmont,8699464713,be_btech,79,Fresher,Associate Engineer,39,65,95,67,0,hr1,2000-12-31
suzanbrown@gmail.com,Suzan Brown,8161857059,be_btech,69,Fresher,Associate Engineer,61,43,90,65,0,hr1,2000-12-31
frankwatts@gmail.com,Frank Watts,8015175069,be_btech,80,Fresher,Associate Engineer,6,78,76,54,0,hr1,2000-12-31
kylestauber@gmail.com,Kyle Stauber,8267656462,be_btech,89,Fresher,Associate Engineer,96,52,36,62,0,hr1,2000-12-31
jillshelvey@gmail.com,Jill Shelvey,8184563175,be_btech,87,Fresher,Associate Engineer,48,72,56,59,0,hr1,2000-12-31
sandykimball@gmail.com,Sandy Kimball,8285112696,be_btech,84,Fresher,Associate Engineer,3,71,69,48,0,hr1,2000-12-31
joesphpapa@gmail.com,Joesph Papa,7970873718,be_btech,80,Fresher,Associate Engineer,59,90,50,67,0,hr1,2000-12-31
tommythomson@gmail.com,Tommy Thomson,8352778137,be_btech,96,Fresher,Associate Engineer,86,38,95,73,1,hr1,2000-12-31
leonardburgess@gmail.com,Leonard Burgess,8400210032,be_btech,75,Fresher,Associate Engineer,30,66,32,43,0,hr1,2000-12-31
maryprice@gmail.com,Mary Price,8289272873,be_btech,67,Fresher,Associate Engineer,59,82,75,72,1,hr1,2000-12-31
lynnsingletary@gmail.com,Lynn Singletary,8469050537,be_btech,91,Fresher,Associate Engineer,47,83,85,72,1,hr1,2000-12-31
normaoates@gmail.com,Norma Oates,8226663344,be_btech,81,Fresher,Associate Engineer,89,62,44,65,0,hr1,2000-12-31
sarahouchens@gmail.com,Sara Houchens,8715107357,be_btech,68,Fresher,Associate Engineer,21,55,34,37,0,hr1,2000-12-31
garystaley@gmail.com,Gary Staley,8744137413,be_btech,92,Fresher,Associate Engineer,37,43,59,47,0,hr1,2000-12-31
donnachilds@gmail.com,Donna Childs,8241592041,be_btech,81,Fresher,Associate Engineer,5,80,58,48,0,hr1,2000-12-31
dorotheafee@gmail.com,Dorothea Fee,8537401196,be_btech,99,Fresher,Associate Engineer,70,60,70,67,0,hr1,2000-12-31
lorrettapurinton@gmail.com,Lorretta Purinton,7895126789,be_btech,96,Fresher,Associate Engineer,33,44,73,50,0,hr1,2000-12-31
nickyhampton@gmail.com,Nicky Hampton,8237805578,be_btech,71,Fresher,Associate Engineer,88,66,49,68,0,hr1,2000-12-31
eileenhorne@gmail.com,Eileen Horne,8141819518,be_btech,86,Fresher,Associate Engineer,17,54,38,34,0,hr1,2000-12-31
elizabethbattis@gmail.com,Elizabeth Battis,8361933205,be_btech,93,Fresher,Associate Engineer,27,50,52,43,0,hr1,2000-12-31
vanessarush@gmail.com,Vanessa Rush,8228975694,be_btech,71,Fresher,Associate Engineer,23,50,39,38,0,hr1,2000-12-31
opalmccowin@gmail.com,Opal Mccowin,8308197758,be_btech,66,Fresher,Associate Engineer,33,37,45,39,0,hr1,2000-12-31
sherryshelton@gmail.com,Sherry Shelton,7896616904,be_btech,78,Fresher,Associate Engineer,92,38,90,74,1,hr1,2000-12-31
crystalmontanez@gmail.com,Crystal Montanez,8257497419,be_btech,62,Fresher,Associate Engineer,2,43,45,30,0,hr1,2000-12-31
corystrobeck@gmail.com,Cory Strobeck,8065853297,be_btech,62,Fresher,Associate Engineer,39,88,69,66,0,hr1,2000-12-31
carolynbecker@gmail.com,Carolyn Becker,8619688785,be_btech,79,Fresher,Associate Engineer,69,78,44,64,0,hr1,2000-12-31
janicemorrison@gmail.com,Janice Morrison,8363653964,be_btech,99,Fresher,Associate Engineer,73,61,51,62,0,hr1,2000-12-31
gailnavarra@gmail.com,Gail Navarra,8139956645,be_btech,96,Fresher,Associate Engineer,88,83,78,83,1,hr1,2000-12-31
markellis@gmail.com,Mark Ellis,8043855211,be_btech,71,Fresher,Associate Engineer,84,76,86,82,1,hr1,2000-12-31
echoduffield@gmail.com,Echo Duffield,8240480074,be_btech,64,Fresher,Associate Engineer,51,37,85,58,0,hr1,2000-12-31
mariettahaynes@gmail.com,Marietta Haynes,8617539048,be_btech,79,Fresher,Associate Engineer,94,50,87,77,1,hr1,2000-12-31
susiehorton@gmail.com,Susie Horton,8085441943,be_btech,62,Fresher,Associate Engineer,92,63,35,64,0,hr1,2000-12-31
paulaglatt@gmail.com,Paula Glatt,8421423105,be_btech,86,Fresher,Associate Engineer,35,79,78,64,0,hr1,2000-12-31
alexandergulley@gmail.com,Alexander Gulley,8517755687,be_btech,87,Fresher,Associate Engineer,54,88,33,59,0,hr1,2000-12-31
violajacobs@gmail.com,Viola Jacobs,8425266575,be_btech,99,Fresher,Associate Engineer,42,87,55,62,0,hr1,2000-12-31
kristenkyles@gmail.com,Kristen Kyles,8418337728,be_btech,91,Fresher,Associate Engineer,33,78,55,56,0,hr1,2000-12-31
yolandaprewitt@gmail.com,Yolanda Prewitt,7910219982,be_btech,69,Fresher,Associate Engineer,24,64,75,55,0,hr1,2000-12-31
andrewsaraiva@gmail.com,Andrew Saraiva,8355645264,be_btech,61,Fresher,Associate Engineer,99,89,73,87,1,hr1,2000-12-31
tonysanchez@gmail.com,Tony Sanchez,8187271047,be_btech,92,Fresher,Associate Engineer,14,72,93,60,0,hr1,2000-12-31
douglashouser@gmail.com,Douglas Houser,8486120443,be_btech,96,Fresher,Associate Engineer,86,41,51,60,0,hr1,2000-12-31
keenaallen@gmail.com,Keena Allen,7894575523,be_btech,76,Fresher,Associate Engineer,20,62,72,52,0,hr1,2000-12-31
dariuskim@gmail.com,Darius Kim,8766331083,be_btech,71,Fresher,Associate Engineer,18,47,49,38,0,hr1,2000-12-31
nealfreeman@gmail.com,Neal Freeman,8167162201,be_btech,90,Fresher,Associate Engineer,70,30,51,51,0,hr1,2000-12-31
philiptorres@gmail.com,Philip Torres,8489466061,be_btech,76,Fresher,Associate Engineer,78,63,77,73,1,hr1,2000-12-31
ericsmith@gmail.com,Eric Smith,8011451196,be_btech,74,Fresher,Associate Engineer,64,77,80,74,1,hr1,2000-12-31
amyhenderson@gmail.com,Amy Henderson,8771510793,be_btech,75,Fresher,Associate Engineer,0,63,40,35,0,hr1,2000-12-31
maryhill@gmail.com,Mary Hill,8293814964,be_btech,64,Fresher,Associate Engineer,59,81,65,69,0,hr1,2000-12-31
markrowe@gmail.com,Mark Rowe,8378282226,be_btech,64,Fresher,Associate Engineer,28,40,50,40,0,hr1,2000-12-31
noramalone@gmail.com,Nora Malone,8212109628,be_btech,89,Fresher,Associate Engineer,74,88,82,82,1,hr1,2000-12-31
mildredpajerski@gmail.com,Mildred Pajerski,8463847782,be_btech,64,Fresher,Associate Engineer,71,88,64,75,1,hr1,2000-12-31
jamesshaw@gmail.com,James Shaw,8683736299,be_btech,78,Fresher,Associate Engineer,12,74,36,41,0,hr1,2000-12-31
billieguastella@gmail.com,Billie Guastella,8452321388,be_btech,70,Fresher,Associate Engineer,89,47,70,69,0,hr2,2001-05-02
jefferyhall@gmail.com,Jeffery Hall,8034550045,be_btech,94,Fresher,Associate Engineer,6,53,48,36,0,hr2,2001-05-02
charlesharvey@gmail.com,Charles Harvey,8575472715,be_btech,66,Fresher,Associate Engineer,13,88,71,58,0,hr2,2001-05-02
douglittlefield@gmail.com,Doug Littlefield,8350464488,be_btech,85,Fresher,Associate Engineer,73,51,71,65,0,hr2,2001-05-02
robertculverhouse@gmail.com,Robert Culverhouse,8476928686,be_btech,62,Fresher,Associate Engineer,34,74,92,67,0,hr2,2001-05-02
eduardogodfrey@gmail.com,Eduardo Godfrey,8550668245,be_btech,97,Fresher,Associate Engineer,99,47,42,63,0,hr2,2001-05-02
jodyhughes@gmail.com,Jody Hughes,8381040579,be_btech,61,Fresher,Associate Engineer,60,79,44,61,0,hr2,2001-05-02
susanarocha@gmail.com,Susan Arocha,8662591512,be_btech,79,Fresher,Associate Engineer,25,72,90,63,0,hr2,2001-05-02
thomasheffernan@gmail.com,Thomas Heffernan,8243465652,be_btech,66,Fresher,Associate Engineer,80,84,65,77,1,hr2,2001-05-02
gregoryozga@gmail.com,Gregory Ozga,7964163996,be_btech,93,Fresher,Associate Engineer,71,64,56,64,0,hr2,2001-05-02
dalemorgan@gmail.com,Dale Morgan,7983267835,be_btech,91,Fresher,Associate Engineer,37,63,41,47,0,hr2,2001-05-02
tommiemason@gmail.com,Tommie Mason,8360611227,be_btech,87,Fresher,Associate Engineer,38,36,60,45,0,hr2,2001-05-02
rodgerdesir@gmail.com,Rodger Desir,8446938851,be_btech,78,Fresher,Associate Engineer,25,53,58,46,0,hr2,2001-05-02
andrewpruitt@gmail.com,Andrew Pruitt,8323262990,be_btech,96,Fresher,Associate Engineer,97,59,42,66,0,hr2,2001-05-02
brittanyavila@gmail.com,Brittany Avila,8519310931,be_btech,62,Fresher,Associate Engineer,97,38,91,76,1,hr2,2001-05-02
juanitadalton@gmail.com,Juanita Dalton,8701117448,be_btech,75,Fresher,Associate Engineer,17,52,54,41,0,hr2,2001-05-02
antonioknott@gmail.com,Antonio Knott,8462293958,be_btech,65,Fresher,Associate Engineer,1,85,33,40,0,hr2,2001-05-02
geraldchen@gmail.com,Gerald Chen,8665176466,be_btech,85,Fresher,Associate Engineer,15,73,35,41,0,hr2,2001-05-02
claudemartin@gmail.com,Claude Martin,8647227704,be_btech,73,Fresher,Associate Engineer,15,43,68,42,0,hr2,2001-05-02
charleslance@gmail.com,Charles Lance,8653230836,be_btech,71,Fresher,Associate Engineer,40,87,79,69,0,hr2,2001-05-02
christywilbanks@gmail.com,Christy Wilbanks,8614900496,be_btech,82,Fresher,Associate Engineer,34,84,40,53,0,hr2,2001-05-02
beverlywhitaker@gmail.com,Beverly Whitaker,8630001512,be_btech,91,Fresher,Associate Engineer,5,57,35,33,0,hr2,2001-05-02
jamesmayton@gmail.com,James Mayton,8154346817,be_btech,65,Fresher,Associate Engineer,57,44,72,58,0,hr2,2001-05-02
angeloherrera@gmail.com,Angelo Herrera,8102062890,be_btech,61,Fresher,Associate Engineer,62,30,64,52,0,hr2,2001-05-02
coreylong@gmail.com,Corey Long,8363515343,be_btech,72,Fresher,Associate Engineer,75,37,61,58,0,hr2,2001-05-02
danabuckley@gmail.com,Dana Buckley,8634516531,be_btech,65,Fresher,Associate Engineer,4,86,42,44,0,hr2,2001-05-02
lewisjohnson@gmail.com,Lewis Johnson,8259748319,be_btech,71,Fresher,Associate Engineer,61,56,42,53,0,hr2,2001-05-02
elizabethhines@gmail.com,Elizabeth Hines,8306012869,be_btech,81,Fresher,Associate Engineer,15,40,85,47,0,hr2,2001-05-02
janesullivan@gmail.com,Jane Sullivan,8689853122,be_btech,65,Fresher,Associate Engineer,94,51,83,76,1,hr2,2001-05-02
hortenciamontpas@gmail.com,Hortencia Montpas,8146519375,be_btech,92,Fresher,Associate Engineer,59,79,72,70,1,hr2,2001-05-02
ignaciore@gmail.com,Ignacio Re,8741798165,be_btech,92,Fresher,Associate Engineer,73,90,85,83,1,hr2,2001-05-02
jessicairwin@gmail.com,Jessica Irwin,8719324277,be_btech,79,Fresher,Associate Engineer,16,81,68,55,0,hr2,2001-05-02
jayelarmon@gmail.com,Jaye Larmon,8096695090,be_btech,83,Fresher,Associate Engineer,65,70,64,67,0,hr2,2001-05-02
julianmccraken@gmail.com,Julian Mccraken,8394261923,be_btech,66,Fresher,Associate Engineer,80,64,77,74,1,hr2,2001-05-02
timothyhledik@gmail.com,Timothy Hledik,8490065038,be_btech,73,Fresher,Associate Engineer,47,77,44,56,0,hr2,2001-05-02
joanmoffett@gmail.com,Joan Moffett,8356650075,be_btech,73,Fresher,Associate Engineer,0,90,89,60,0,hr2,2001-05-02
robertmartin@gmail.com,Robert Martin,8593292058,be_btech,70,Fresher,Associate Engineer,46,75,84,69,0,hr2,2001-05-02
mariannejohnson@gmail.com,Marianne Johnson,8504244128,be_btech,95,Fresher,Associate Engineer,52,67,71,64,0,hr2,2001-05-02
robertwestberg@gmail.com,Robert Westberg,8385312164,be_btech,63,Fresher,Associate Engineer,15,48,79,48,0,hr2,2001-05-02
dustingonzalez@gmail.com,Dustin Gonzalez,7923336191,be_btech,76,Fresher,Associate Engineer,69,88,45,68,0,hr2,2001-05-02
tracybartoszek@gmail.com,Tracy Bartoszek,7921996260,be_btech,88,Fresher,Associate Engineer,38,84,68,64,0,hr2,2001-05-02
kellyford@gmail.com,Kelly Ford,8167388013,be_btech,85,Fresher,Associate Engineer,95,79,87,87,1,hr2,2001-05-02
jaredbucher@gmail.com,Jared Bucher,8105420994,be_btech,74,Fresher,Associate Engineer,80,36,69,62,0,hr2,2001-05-02
sarinamata@gmail.com,Sarina Mata,7944665474,be_btech,95,Fresher,Associate Engineer,100,30,30,54,0,hr2,2001-05-02
lindahorne@gmail.com,Linda Horne,8332763965,be_btech,89,Fresher,Associate Engineer,22,51,69,48,0,hr2,2001-05-02
helendorich@gmail.com,Helen Dorich,8680679822,be_btech,83,Fresher,Associate Engineer,95,83,63,81,1,hr2,2001-05-02
cynthiairibarren@gmail.com,Cynthia Iribarren,8077112812,be_btech,79,Fresher,Associate Engineer,10,38,72,40,0,hr2,2001-05-02
suzannejohnson@gmail.com,Suzanne Johnson,8098206720,be_btech,83,Fresher,Associate Engineer,71,71,93,79,1,hr2,2001-05-02
juanitastanford@gmail.com,Juanita Stanford,8574544287,be_btech,90,Fresher,Associate Engineer,5,48,89,48,0,hr2,2001-05-02
cliftonvela@gmail.com,Clifton Vela,8622030339,be_btech,61,Fresher,Associate Engineer,60,58,72,64,0,hr2,2001-05-02
michealmartinez@gmail.com,Micheal Martinez,8135074636,be_btech,92,Fresher,Associate Engineer,10,50,41,34,0,hr2,2001-05-02
johndownes@gmail.com,John Downes,8272193982,be_btech,72,Fresher,Associate Engineer,93,36,36,55,0,hr2,2001-05-02
charliesanchez@gmail.com,Charlie Sanchez,8092296013,be_btech,89,Fresher,Associate Engineer,68,52,53,58,0,hr2,2001-05-02
dorisbrownlee@gmail.com,Doris Brownlee,8773822931,be_btech,62,Fresher,Associate Engineer,76,89,75,80,1,hr2,2001-05-02
ralphrodriguez@gmail.com,Ralph Rodriguez,8179838770,be_btech,78,Fresher,Associate Engineer,34,47,59,47,0,hr2,2001-05-02
susanhill@gmail.com,Susan Hill,7907074403,be_btech,90,Fresher,Associate Engineer,46,85,81,71,1,hr2,2001-05-02
rileyalexander@gmail.com,Riley Alexander,8281863640,be_btech,68,Fresher,Associate Engineer,51,87,53,64,0,hr2,2001-05-02
ceceliateter@gmail.com,Cecelia Teter,8725428624,be_btech,73,Fresher,Associate Engineer,37,87,86,70,1,hr2,2001-05-02
amymcdermott@gmail.com,Amy Mcdermott,8161740003,be_btech,83,Fresher,Associate Engineer,0,32,63,32,0,hr2,2001-05-02
constanceleonberger@gmail.com,Constance Leonberger,7894993745,be_btech,97,Fresher,Associate Engineer,78,34,34,49,0,hr2,2001-05-02
christopherrogge@gmail.com,Christopher Rogge,8328729912,be_btech,96,Fresher,Associate Engineer,72,65,80,73,1,hr2,2001-05-02
lauriemarshall@gmail.com,Laurie Marshall,8433337430,be_btech,81,Fresher,Associate Engineer,54,33,60,49,0,hr2,2001-05-02
ricardorobinson@gmail.com,Ricardo Robinson,8414557193,be_btech,78,Fresher,Associate Engineer,62,55,67,62,0,hr2,2001-05-02
darasteenbergen@gmail.com,Dara Steenbergen,8375048926,be_btech,74,Fresher,Associate Engineer,36,68,40,48,0,hr2,2001-05-02
joeobrien@gmail.com,Joe Obrien,8719276057,be_btech,79,Fresher,Associate Engineer,34,44,75,51,0,hr2,2001-05-02
craignash@gmail.com,Craig Nash,8502714666,be_btech,66,Fresher,Associate Engineer,52,37,65,52,0,hr2,2001-05-02
michaelmiles@gmail.com,Michael Miles,8728453368,be_btech,74,Fresher,Associate Engineer,43,34,78,52,0,hr2,2001-05-02
kathryneggert@gmail.com,Kathryn Eggert,8554802720,be_btech,71,Fresher,Associate Engineer,33,74,71,60,0,hr2,2001-05-02
lindaallen@gmail.com,Linda Allen,8753310118,be_btech,91,Fresher,Associate Engineer,31,46,79,52,0,hr2,2001-05-02
jameswitt@gmail.com,James Witt,7991230303,be_btech,64,Fresher,Associate Engineer,28,86,47,54,0,hr2,2001-05-02
thelmajordan@gmail.com,Thelma Jordan,7878094835,be_btech,82,Fresher,Associate Engineer,25,55,43,41,0,hr2,2001-05-02
corneliuslopez@gmail.com,Cornelius Lopez,8783740038,be_btech,68,Fresher,Associate Engineer,91,30,34,52,0,hr2,2001-05-02
haroldlawson@gmail.com,Harold Lawson,8567735753,be_btech,70,Fresher,Associate Engineer,15,88,36,47,0,hr2,2001-05-02
petermartinez@gmail.com,Peter Martinez,8087492961,be_btech,74,Fresher,Associate Engineer,96,47,88,77,1,hr2,2001-05-02
anthonylee@gmail.com,Anthony Lee,7978212375,be_btech,87,Fresher,Associate Engineer,77,78,84,80,1,hr2,2001-05-02
adamkelly@gmail.com,Adam Kelly,8494011917,be_btech,99,Fresher,Associate Engineer,3,86,73,54,0,hr2,2001-05-02
meganrich@gmail.com,Megan Rich,8256453840,be_btech,61,Fresher,Associate Engineer,6,69,43,40,0,hr2,2001-05-02
florencewebster@gmail.com,Florence Webster,8631706390,be_btech,94,Fresher,Associate Engineer,50,76,61,63,0,hr2,2001-05-02
rogerhixon@gmail.com,Roger Hixon,8551538832,be_btech,85,Fresher,Associate Engineer,51,82,52,62,0,hr2,2001-05-02
arlenegagliano@gmail.com,Arlene Gagliano,8484495772,be_btech,95,Fresher,Associate Engineer,26,66,65,53,0,hr2,2001-05-02
dalediaz@gmail.com,Dale Diaz,8510236558,be_btech,68,Fresher,Associate Engineer,41,78,36,52,0,hr2,2001-05-02
russtaylor@gmail.com,Russ Taylor,8741175525,be_btech,69,Fresher,Associate Engineer,19,76,86,61,0,hr2,2001-05-02
pamelacane@gmail.com,Pamela Cane,8545961798,be_btech,65,Fresher,Associate Engineer,99,72,66,79,1,hr2,2001-05-02
kenholloway@gmail.com,Ken Holloway,8718939379,be_btech,86,Fresher,Associate Engineer,95,39,90,75,1,hr2,2001-05-02
aaroncarr@gmail.com,Aaron Carr,8452561006,be_btech,78,Fresher,Associate Engineer,22,76,64,54,0,hr2,2001-05-02
eleanorfolmar@gmail.com,Eleanor Folmar,8535808084,be_btech,83,Fresher,Associate Engineer,78,35,95,70,1,hr2,2001-05-02
esperanzablackmon@gmail.com,Esperanza Blackmon,8053210490,be_btech,95,Fresher,Associate Engineer,48,80,92,74,1,hr2,2001-05-02
cynthiadahl@gmail.com,Cynthia Dahl,7883631120,be_btech,62,Fresher,Associate Engineer,96,50,81,76,1,hr2,2001-05-02
margaritakarle@gmail.com,Margarita Karle,8201502350,be_btech,95,Fresher,Associate Engineer,32,67,44,48,0,hr2,2001-05-02
genevamason@gmail.com,Geneva Mason,8104414692,be_btech,66,Fresher,Associate Engineer,91,59,39,63,0,hr2,2001-05-02
odismorgan@gmail.com,Odis Morgan,8551569813,be_btech,70,Fresher,Associate Engineer,39,80,83,68,0,hr2,2001-05-02
alicebiasi@gmail.com,Alice Biasi,8633920770,be_btech,90,Fresher,Associate Engineer,66,48,62,59,0,hr2,2001-05-02
anthonyburris@gmail.com,Anthony Burris,8063843688,be_btech,65,Fresher,Associate Engineer,63,39,70,58,0,hr2,2001-05-02
robertvaldez@gmail.com,Robert Valdez,8694184238,be_btech,78,Fresher,Associate Engineer,9,35,85,43,0,hr2,2001-05-02
gregorysmith@gmail.com,Gregory Smith,8060820582,be_btech,67,Fresher,Associate Engineer,63,69,61,65,0,hr2,2001-05-02
loriwright@gmail.com,Lori Wright,8422182350,be_btech,91,Fresher,Associate Engineer,67,87,30,62,0,hr2,2001-05-02
ednastone@gmail.com,Edna Stone,8562431275,be_btech,92,Fresher,Associate Engineer,52,33,71,52,0,hr2,2001-05-02
jasonboss@gmail.com,Jason Boss,8688840119,be_btech,67,Fresher,Associate Engineer,29,52,90,57,0,hr2,2001-05-02
rebeccaerich@gmail.com,Rebecca Erich,8163504006,be_btech,91,Fresher,Associate Engineer,34,84,89,69,0,hr2,2001-05-02
markwebb@gmail.com,Mark Webb,8521160836,be_btech,61,Fresher,Associate Engineer,22,48,90,54,0,hr2,2001-05-02
williamenglish@gmail.com,William English,8677510584,be_btech,97,Fresher,Associate Engineer,84,53,95,78,1,hr2,2001-05-02
jamesogorman@gmail.com,James Ogorman,8554484053,be_btech,63,Fresher,Associate Engineer,41,71,79,64,0,hr2,2001-05-02
florencedegan@gmail.com,Florence Degan,8710580685,be_btech,93,Fresher,Associate Engineer,57,43,86,62,0,hr1,2002-11-17
colleenchain@gmail.com,Colleen Chain,8327277054,be_btech,88,Fresher,Associate Engineer,27,58,80,55,0,hr1,2002-11-17
tinaogorman@gmail.com,Tina Ogorman,8682747035,be_btech,71,Fresher,Associate Engineer,74,88,86,83,1,hr1,2002-11-17
lilliangallahan@gmail.com,Lillian Gallahan,8043951605,be_btech,82,Fresher,Associate Engineer,23,75,59,53,0,hr1,2002-11-17
ninapies@gmail.com,Nina Pies,8552550645,be_btech,89,Fresher,Associate Engineer,99,56,31,62,0,hr1,2002-11-17
andreharteau@gmail.com,Andre Harteau,8251527596,be_btech,91,Fresher,Associate Engineer,8,60,87,52,0,hr1,2002-11-17
